"Espacialidades","IDHM.2010","PE"
"Abreu E Lima (PE)",0.679,TRUE
"Afogados da Ingazeira (PE)",0.657,TRUE
"Afrânio (PE)",0.588,TRUE
"Agrestina (PE)",0.592,TRUE
"Água Preta (PE)",0.553,TRUE
"Águas Belas (PE)",0.526,TRUE
"Alagoinha (PE)",0.599,TRUE
"Aliança (PE)",0.604,TRUE
"Altinho (PE)",0.598,TRUE
"Amaraji (PE)",0.58,TRUE
"Angelim (PE)",0.572,TRUE
"Araçoiaba (PE)",0.592,TRUE
"Araripina (PE)",0.602,TRUE
"Arcoverde (PE)",0.667,TRUE
"Barra de Guabiraba (PE)",0.577,TRUE
"Barreiros (PE)",0.586,TRUE
"Belém de Maria (PE)",0.578,TRUE
"Belém do São Francisco (PE)",0.642,TRUE
"Belo Jardim (PE)",0.629,TRUE
"Betânia (PE)",0.559,TRUE
"Bezerros (PE)",0.606,TRUE
"Bodocó (PE)",0.565,TRUE
"Bom Conselho (PE)",0.563,TRUE
"Bom Jardim (PE)",0.602,TRUE
"Bonito (PE)",0.561,TRUE
"Brejão (PE)",0.547,TRUE
"Brejinho (PE)",0.574,TRUE
"Brejo da Madre de Deus (PE)",0.562,TRUE
"Buenos Aires (PE)",0.593,TRUE
"Buíque (PE)",0.527,TRUE
"Cabo de Santo Agostinho (PE)",0.686,TRUE
"Cabrobó (PE)",0.623,TRUE
"Cachoeirinha (PE)",0.579,TRUE
"Caetés (PE)",0.522,TRUE
"Calçado (PE)",0.566,TRUE
"Calumbi (PE)",0.571,TRUE
"Camaragibe (PE)",0.692,TRUE
"Camocim de São Félix (PE)",0.588,TRUE
"Camutanga (PE)",0.606,TRUE
"Canhotinho (PE)",0.541,TRUE
"Capoeiras (PE)",0.549,TRUE
"Carnaíba (PE)",0.583,TRUE
"Carnaubeira da Penha (PE)",0.573,TRUE
"Carpina (PE)",0.68,TRUE
"Caruaru (PE)",0.677,TRUE
"Casinhas (PE)",0.567,TRUE
"Catende (PE)",0.609,TRUE
"Cedro (PE)",0.615,TRUE
"Chã de Alegria (PE)",0.604,TRUE
"Chã Grande (PE)",0.599,TRUE
"Condado (PE)",0.602,TRUE
"Correntes (PE)",0.536,TRUE
"Cortês (PE)",0.568,TRUE
"Cumaru (PE)",0.572,TRUE
"Cupira (PE)",0.592,TRUE
"Custódia (PE)",0.594,TRUE
"Dormentes (PE)",0.589,TRUE
"Escada (PE)",0.632,TRUE
"Exu (PE)",0.576,TRUE
"Feira Nova (PE)",0.6,TRUE
