;waster_water_treatment;environmental_health;environmental_performance_index;marine_protected_areas;economic_policy_performance;economic_performance;total_export;political_corruption
0;0.0;52.09000015258789;39.70000076293945;;;4.0;6.567699909210205;0.8655555844306946
1;60.15999984741211;80.80000305175781;72.36000061035156;77.19999694824219;;6.0;28.23090744018555;0.6332576274871826
2;82.48999786376953;76.22000122070312;72.08999633789062;41.04999923706055;;7.0;30.46299743652344;0.5797840356826782
3;;;;;;;;
4;0.0;55.06000137329102;50.91999816894531;22.46999931335449;;6.0;47.99869155883789;0.8180223107337952
5;11.36999988555908;88.7699966430664;65.80999755859375;58.0099983215332;;;46.356956481933594;
6;69.16000366210939;81.37000274658203;83.08000183105469;;;6.0;43.26092147827148;0.9429960250854492
7;66.94000244140625;94.27999877929688;79.94000244140625;81.51000213623047;;5.0;14.40981864929199;0.5052914023399353
8;97.87999725341795;98.72000122070312;87.70999908447266;100.0;5.844687938690186;;20.81688690185547;0.0648172423243523
9;97.16000366210938;84.12999725341797;85.45999908447266;;6.261831760406494;;53.01616287231445;0.0663291588425636
10;11.36999988555908;92.18000030517578;70.61000061035156;59.599998474121094;;;42.49245834350586;
11;91.66000366210938;71.58999633789062;69.81999969482422;94.83999633789064;;8.0;96.05075073242188;
12;0.0;42.02999877929688;43.790000915527344;92.15000152587892;;7.0;18.98966026306152;0.8427209258079529
13;70.76000213623047;81.37999725341797;81.5199966430664;;;5.0;28.56513786315918;0.8310825824737549
14;11.36999988555908;86.80000305175781;56.900001525878906;13.989999771118159;;;36.83460998535156;0.1012188345193863
15;94.98999786376952;74.26000213623047;78.97000122070312;100.0;6.396289825439452;;83.20372009277344;0.0372093133628368
16;0.0;66.80000305175781;63.97999954223633;;;7.0;36.28463745117188;0.1568534672260284
17;54.38000106811523;78.18000030517578;70.77999877929688;;;8.0;43.29308700561523;0.6203659772872925
18;0.0;84.0;60.81999969482422;;;5.0;34.13704299926758;0.6111775636672974
19;41.040000915527344;72.9800033569336;70.7699966430664;;;8.0;60.8301887512207;0.1533257365226746
20;76.2300033569336;87.19000244140625;79.87000274658203;95.27999877929688;;6.0;11.011961936950678;0.4161379933357239
21;50.22000122070313;83.83000183105469;74.16000366210938;99.16000366210938;;;60.47120666503906;
22;0.0;61.61999893188477;46.52999877929688;47.93000030517578;;;51.45209121704102;0.5277641415596008
23;37.84000015258789;78.37000274658203;65.52999877929689;26.86000061035156;;;68.61949920654297;
24;88.58999633789062;80.69999694824219;80.7699966430664;33.990001678466804;4.537433624267578;6.0;65.01240539550781;0.3839959502220154
