"tipo";"situacao";"data";"hora";"bairro";"endereco";"numero";"complemento";"natureza";"descricao";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas"
"SEM VÍTIMA";"FINALIZADA";2016-01-13;13:04:00;"IPUTINGA";"RUA REAL DA TORRE";NA;"CRUZ COM A RUA JOSÉ OSÓRIO";"COLISÃO";"COLISÃO SEM VITIMA";"0";"2";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-02-18;15:57:00;"TEJIPIÓ";"AV DR JOSE RUFINO";NA;"PROX DO HOTEL OLIMPICUS NA ENTRADA DO QUATEL";"COLISÃO";"COLISAO DE DOIS AUTOS S/V";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-03-27;14:57:00;"JOANA BEZERRA";"AV ENGENHEIRO AGAMENON DE MAGALHAES MELO";NA;"EM FRENTE AO FORUM RODOLFO AURELIANO";"COLISÃO";"COLISÃO SEGUIDO DE CHOQUE";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-04-06;17:08:00;"CAMPO GRANDE";"AV CORREIA DE BRITO";"1065";NA;"COLISÃO";"COLISÃO COM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-05-16;12:32:00;"AFOGADOS";"RUA MOTOCOLOMBO";NA;"ANTES DA PONTE DO MESMO NOME";"COLISÃO";"COLISÃO DE ÔNIBUS E AUTO SEM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-05-18;15:30:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";NA;"EM FRENTE AO 3355";"COLISÃO";"COLISÃO SEM VITIMA";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-05-24;13:20:00;"CORDEIRO";"EST DO FORTE DO ARRAIAL N. DO B. JESUS";NA;"EM FRENTE AO FORTE FRUTA";"COLISÃO";"COLISÃO COM VITIMA";"0";"1";"1";NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-25;08:33:00;"NOVA DESCOBERTA";"RUA NOVA DESCOBERTA";NA;"NA ENTRADA DO CORREGO DA AREIA";"COLISÃO";"COLISÃO COM CARRO OFICIAL DO IC QUE ATENDIA A DEMANDA PROTOCOLO 2016 22 265";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";NA;17:36:00;"SANTO AMARO";"RUA TREZE DE MAIO";NA;"COM A RUA VISCONDE SUASSUNA";"COLISÃO";"COLISÃO ENTRE DOIS AUTOS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";NA;18:01:00;"COELHOS";"RUA DR JOSE MARIANO";NA;"EM FRENTE A FERREIRA PINTO";"COLISÃO";"COLISÃO SEM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
