"mes","ano","quantidade_de_multas_arrecadadas","receita_repassada_ao_detran","total_das_despesas_com_recursos_de_multas"
"JANEIRO",2016,121916,0,0
"FEVEREIRO",2016,89370,31637999,0
"MARÇO",2016,95365,14762197,2697542
"ABRIL",2016,91621,14376249,14635529
"MAIO",2016,113926,18140521,4007787
"JUNHO",2016,119923,18337231,5039160
"JULHO",2016,123561,16970513,3548818
"AGOSTO",2016,146776,25718076,4593457
"SETEMBRO",2016,131456,20909113,5585156
"OUTUBRO",2016,121851,19772179,7060805
"NOVEMBRO",2016,132926,11211806,4068700
"DEZEMBRO",2016,168268,37607340,21739852
"JANEIRO",2017,120996,19751387,29356
"FEVEREIRO",2017,65475,11266175,3994428
"MARÇO",2017,83480,14822002,4061040
"ABRIL",2017,99135,20977816,4550898
"MAIO",2017,120407,23850984,6436172
"JUNHO",2017,117157,23709163,9420845
"JULHO",2017,118689,24308842,4321484
"AGOSTO",2017,143779,29752442,4935288
"SETEMBRO",2017,127567,27068786,5303194
"OUTUBRO",2017,122344,27476128,6633286
"NOVEMBRO",2017,116901,26496224,5454934
"DEZEMBRO",2017,134586,30671539,28604656
"JANEIRO",2018,119468,28284720,637114
"FEVEREIRO",2018,92192,8113682,3222076
"MARÇO",2018,83690,14693604,4915037
"ABRIL",2018,101157,17855906,4542680
"MAIO",2018,110633,19581802,8404295
"JUNHO",2018,107357,19474535,5423161
